index,binder_name,page_number,slot_number,card_name,card_number,set_id,set_name,card_market_value
2-1-1,2,1,1,Alakazam,1,base4,Base Set 2,37.01
2-1-2,2,1,2,Blastoise,2,base4,Base Set 2,107.85
2-1-3,2,1,3,Chansey,3,base4,Base Set 2,14.71
2-1-4,2,1,4,Charizard,4,base4,Base Set 2,304.88
2-1-5,2,1,5,Clefable,5,base4,Base Set 2,13.97
2-1-6,2,1,6,Clefairy,6,base4,Base Set 2,10.79
2-1-7,2,1,7,Gyarados,7,base4,Base Set 2,26.94
2-1-8,2,1,8,Hitmonchan,8,base4,Base Set 2,21.21
2-1-9,2,1,9,Magneton,9,base4,Base Set 2,12.14
2-2-1,2,2,1,Mewtwo,10,base4,Base Set 2,40.96
2-2-2,2,2,2,Nidoking,11,base4,Base Set 2,24.14
2-2-3,2,2,3,Nidoqueen,12,base4,Base Set 2,23.02
2-2-4,2,2,4,Ninetales,13,base4,Base Set 2,21.49
2-2-5,2,2,5,Pidgeot,14,base4,Base Set 2,27.41
2-2-6,2,2,6,Poliwrath,15,base4,Base Set 2,13.35
2-2-7,2,2,7,Raichu,16,base4,Base Set 2,33.18
2-2-8,2,2,8,Scyther,17,base4,Base Set 2,24.6
2-2-9,2,2,9,Venusaur,18,base4,Base Set 2,73.77
2-3-1,2,3,1,Wigglytuff,19,base4,Base Set 2,11.0
2-3-2,2,3,2,Zapdos,20,base4,Base Set 2,24.31
2-3-3,2,3,3,Beedrill,21,base4,Base Set 2,1.96
2-3-4,2,3,4,Dragonair,22,base4,Base Set 2,8.58
2-3-5,2,3,5,Dugtrio,23,base4,Base Set 2,3.3
2-3-6,2,3,6,Electabuzz,24,base4,Base Set 2,3.17
2-3-7,2,3,7,Electrode,25,base4,Base Set 2,3.87
2-3-8,2,3,8,Kangaskhan,26,base4,Base Set 2,3.15
2-3-9,2,3,9,Mr. Mime,27,base4,Base Set 2,6.03
2-4-1,2,4,1,Pidgeotto,28,base4,Base Set 2,3.72
2-4-2,2,4,2,Pinsir,29,base4,Base Set 2,3.35
2-4-3,2,4,3,Snorlax,30,base4,Base Set 2,9.34
2-4-4,2,4,4,Venomoth,31,base4,Base Set 2,3.31
2-4-5,2,4,5,Victreebel,32,base4,Base Set 2,2.8
2-4-6,2,4,6,Arcanine,33,base4,Base Set 2,2.1
2-4-7,2,4,7,Butterfree,34,base4,Base Set 2,1.58
2-4-8,2,4,8,Charmeleon,35,base4,Base Set 2,1.73
2-4-9,2,4,9,Dewgong,36,base4,Base Set 2,1.23
2-5-1,2,5,1,Dodrio,37,base4,Base Set 2,1.8
2-5-2,2,5,2,Dratini,38,base4,Base Set 2,0.99
2-5-3,2,5,3,Exeggutor,39,base4,Base Set 2,1.18
2-5-4,2,5,4,Farfetch'd,40,base4,Base Set 2,0.5
2-5-5,2,5,5,Fearow,41,base4,Base Set 2,1.32
2-5-6,2,5,6,Growlithe,42,base4,Base Set 2,1.21
2-5-7,2,5,7,Haunter,43,base4,Base Set 2,0.84
2-5-8,2,5,8,Ivysaur,44,base4,Base Set 2,3.6
2-5-9,2,5,9,Jynx,45,base4,Base Set 2,0.6
2-6-1,2,6,1,Kadabra,46,base4,Base Set 2,1.24
2-6-2,2,6,2,Kakuna,47,base4,Base Set 2,0.71
2-6-3,2,6,3,Lickitung,48,base4,Base Set 2,1.3
2-6-4,2,6,4,Machoke,49,base4,Base Set 2,0.54
2-6-5,2,6,5,Magikarp,50,base4,Base Set 2,0.9
2-6-6,2,6,6,Magmar,51,base4,Base Set 2,1.08
2-6-7,2,6,7,Marowak,52,base4,Base Set 2,1.87
2-6-8,2,6,8,Nidorina,53,base4,Base Set 2,0.62
2-6-9,2,6,9,Nidorino,54,base4,Base Set 2,1.55
2-7-1,2,7,1,Parasect,55,base4,Base Set 2,0.9
2-7-2,2,7,2,Persian,56,base4,Base Set 2,1.7
2-7-3,2,7,3,Poliwhirl,57,base4,Base Set 2,0.92
2-7-4,2,7,4,Raticate,58,base4,Base Set 2,0.9
2-7-5,2,7,5,Rhydon,59,base4,Base Set 2,1.8
2-7-6,2,7,6,Seaking,60,base4,Base Set 2,0.59
2-7-7,2,7,7,Seel,61,base4,Base Set 2,0.62
2-7-8,2,7,8,Tauros,62,base4,Base Set 2,2.96
2-7-9,2,7,9,Wartortle,63,base4,Base Set 2,1.74
2-8-1,2,8,1,Weepinbell,64,base4,Base Set 2,1.21
2-8-2,2,8,2,Abra,65,base4,Base Set 2,0.42
2-8-3,2,8,3,Bellsprout,66,base4,Base Set 2,0.44
2-8-4,2,8,4,Bulbasaur,67,base4,Base Set 2,2.24
2-8-5,2,8,5,Caterpie,68,base4,Base Set 2,0.43
2-8-6,2,8,6,Charmander,69,base4,Base Set 2,1.15
2-8-7,2,8,7,Cubone,70,base4,Base Set 2,0.81
2-8-8,2,8,8,Diglett,71,base4,Base Set 2,0.38
2-8-9,2,8,9,Doduo,72,base4,Base Set 2,0.44
2-9-1,2,9,1,Drowzee,73,base4,Base Set 2,0.44
2-9-2,2,9,2,Exeggcute,74,base4,Base Set 2,0.5
2-9-3,2,9,3,Gastly,75,base4,Base Set 2,0.47
2-9-4,2,9,4,Goldeen,76,base4,Base Set 2,0.38
2-9-5,2,9,5,Jigglypuff,77,base4,Base Set 2,0.74
2-9-6,2,9,6,Machop,78,base4,Base Set 2,0.42
2-9-7,2,9,7,Magnemite,79,base4,Base Set 2,0.39
2-9-8,2,9,8,Meowth,80,base4,Base Set 2,0.55
2-9-9,2,9,9,Metapod,81,base4,Base Set 2,0.43
2-10-1,2,10,1,Nidoran ♀,82,base4,Base Set 2,0.47
2-10-2,2,10,2,Nidoran ♂,83,base4,Base Set 2,0.59
2-10-3,2,10,3,Onix,84,base4,Base Set 2,0.83
2-10-4,2,10,4,Paras,85,base4,Base Set 2,0.38
2-10-5,2,10,5,Pidgey,86,base4,Base Set 2,0.55
2-10-6,2,10,6,Pikachu,87,base4,Base Set 2,2.15
2-10-7,2,10,7,Poliwag,88,base4,Base Set 2,0.4
2-10-8,2,10,8,Rattata,89,base4,Base Set 2,0.45
2-10-9,2,10,9,Rhyhorn,90,base4,Base Set 2,0.46
2-11-1,2,11,1,Sandshrew,91,base4,Base Set 2,0.35
2-11-2,2,11,2,Spearow,92,base4,Base Set 2,0.5
2-11-3,2,11,3,Squirtle,93,base4,Base Set 2,1.08
2-11-4,2,11,4,Starmie,94,base4,Base Set 2,0.5
2-11-5,2,11,5,Staryu,95,base4,Base Set 2,0.29
2-11-6,2,11,6,Tangela,96,base4,Base Set 2,0.35
2-11-7,2,11,7,Venonat,97,base4,Base Set 2,0.6
2-11-8,2,11,8,Voltorb,98,base4,Base Set 2,0.53
2-11-9,2,11,9,Vulpix,99,base4,Base Set 2,0.83
2-12-1,2,12,1,Weedle,100,base4,Base Set 2,0.32
2-12-2,2,12,2,Computer Search,101,base4,Base Set 2,2.71
2-12-3,2,12,3,Imposter Professor Oak,102,base4,Base Set 2,2.23
2-12-4,2,12,4,Item Finder,103,base4,Base Set 2,7.47
2-12-5,2,12,5,Lass,104,base4,Base Set 2,2.69
2-12-6,2,12,6,Pokémon Breeder,105,base4,Base Set 2,4.39
2-12-7,2,12,7,Pokémon Trader,106,base4,Base Set 2,3.23
2-12-8,2,12,8,Scoop Up,107,base4,Base Set 2,4.24
2-12-9,2,12,9,Super Energy Removal,108,base4,Base Set 2,2.51
2-13-1,2,13,1,Defender,109,base4,Base Set 2,0.33
2-13-2,2,13,2,Energy Retrieval,110,base4,Base Set 2,0.32
2-13-3,2,13,3,Full Heal,111,base4,Base Set 2,0.37
2-13-4,2,13,4,Maintenance,112,base4,Base Set 2,0.77
2-13-5,2,13,5,PlusPower,113,base4,Base Set 2,0.4
2-13-6,2,13,6,Pokémon Center,114,base4,Base Set 2,0.79
2-13-7,2,13,7,Pokédex,115,base4,Base Set 2,0.46
2-13-8,2,13,8,Professor Oak,116,base4,Base Set 2,1.29
2-13-9,2,13,9,Super Potion,117,base4,Base Set 2,0.32
2-14-1,2,14,1,Bill,118,base4,Base Set 2,0.33
2-14-2,2,14,2,Energy Removal,119,base4,Base Set 2,0.3
2-14-3,2,14,3,Gust of Wind,120,base4,Base Set 2,0.35
2-14-4,2,14,4,Poké Ball,121,base4,Base Set 2,0.31
2-14-5,2,14,5,Potion,122,base4,Base Set 2,0.24
2-14-6,2,14,6,Switch,123,base4,Base Set 2,0.32
2-14-7,2,14,7,Double Colorless Energy,124,base4,Base Set 2,2.28
2-14-8,2,14,8,Fighting Energy,125,base4,Base Set 2,0.29
2-14-9,2,14,9,Fire Energy,126,base4,Base Set 2,0.72
2-15-1,2,15,1,Grass Energy,127,base4,Base Set 2,0.28
2-15-2,2,15,2,Lightning Energy,128,base4,Base Set 2,0.38
2-15-3,2,15,3,Psychic Energy,129,base4,Base Set 2,0.3
2-15-4,2,15,4,Water Energy,130,base4,Base Set 2,0.26
2-15-5,2,15,5,Charizard,4,base4,Base Set 2,304.88
2-15-6,2,15,6,Blastoise,2,base4,Base Set 2,107.85
2-15-7,2,15,7,Venusaur,18,base4,Base Set 2,73.77
2-15-8,2,15,8,Mewtwo,10,base4,Base Set 2,40.96
2-15-9,2,15,9,Zapdos,20,base4,Base Set 2,24.31
2-16-1,2,16,1,Raichu,16,base4,Base Set 2,33.18
2-16-2,2,16,2,Scyther,17,base4,Base Set 2,24.6
2-16-3,2,16,3,Wigglytuff,19,base4,Base Set 2,11.0
2-16-4,2,16,4,Pidgeot,14,base4,Base Set 2,27.41
2-16-5,2,16,5,Nidoqueen,12,base4,Base Set 2,23.02
2-16-6,2,16,6,Nidoking,11,base4,Base Set 2,24.14
2-16-7,2,16,7,Alakazam,1,base4,Base Set 2,37.01
2-16-8,2,16,8,Gyarados,7,base4,Base Set 2,26.94
2-16-9,2,16,9,Chansey,3,base4,Base Set 2,14.71
2-17-1,2,17,1,Clefable,5,base4,Base Set 2,13.97
2-17-2,2,17,2,Pikachu,87,base4,Base Set 2,2.15
2-17-3,2,17,3,Bulbasaur,67,base4,Base Set 2,2.24
2-17-4,2,17,4,Charmander,69,base4,Base Set 2,1.15
2-17-5,2,17,5,Squirtle,93,base4,Base Set 2,1.08
2-17-6,2,17,6,Pidgey,86,base4,Base Set 2,0.55
2-17-7,2,17,7,Rattata,89,base4,Base Set 2,0.45
2-17-8,2,17,8,Clefairy,6,base4,Base Set 2,10.79
2-17-9,2,17,9,Magikarp,50,base4,Base Set 2,0.9
2-18-1,2,18,1,Abra,65,base4,Base Set 2,0.42
2-18-2,2,18,2,Machop,78,base4,Base Set 2,0.42
2-18-3,2,18,3,Magnemite,79,base4,Base Set 2,0.39
2-18-4,2,18,4,Gastly,75,base4,Base Set 2,0.47
2-18-5,2,18,5,Vulpix,99,base4,Base Set 2,0.83
2-18-6,2,18,6,Seaking,60,base4,Base Set 2,0.59
2-18-7,2,18,7,Weedle,100,base4,Base Set 2,0.32
2-18-8,2,18,8,Caterpie,68,base4,Base Set 2,0.43
2-18-9,2,18,9,Poliwag,88,base4,Base Set 2,0.4
2-19-1,2,19,1,Poliwhirl,57,base4,Base Set 2,0.92
2-19-2,2,19,2,Ivysaur,44,base4,Base Set 2,3.6
2-19-3,2,19,3,Wartortle,63,base4,Base Set 2,1.74
2-19-4,2,19,4,Charmeleon,35,base4,Base Set 2,1.73
2-19-5,2,19,5,Kadabra,46,base4,Base Set 2,1.24
2-19-6,2,19,6,Machoke,49,base4,Base Set 2,0.54
2-19-7,2,19,7,Kakuna,47,base4,Base Set 2,0.71
2-19-8,2,19,8,Metapod,81,base4,Base Set 2,0.43
2-19-9,2,19,9,Dragonair,22,base4,Base Set 2,8.58
2-20-1,2,20,1,Dratini,38,base4,Base Set 2,0.99
2-20-2,2,20,2,Growlithe,42,base4,Base Set 2,1.21
2-20-3,2,20,3,Arcanine,33,base4,Base Set 2,2.1
2-20-4,2,20,4,Electrode,25,base4,Base Set 2,3.87
2-20-5,2,20,5,Electabuzz,24,base4,Base Set 2,3.17
2-20-6,2,20,6,Double Colorless Energy,124,base4,Base Set 2,2.28
2-20-7,2,20,7,Professor Oak,116,base4,Base Set 2,1.29
2-20-8,2,20,8,Bill,118,base4,Base Set 2,0.33
2-20-9,2,20,9,Energy Removal,119,base4,Base Set 2,0.3
1-1-1,1,1,1,Alakazam,1,base1,Base,54.13
1-1-2,1,1,2,Blastoise,2,base1,Base,159.26
1-1-3,1,1,3,Chansey,3,base1,Base,28.48
1-1-4,1,1,4,Charizard,4,base1,Base,458.29
1-1-5,1,1,5,Clefairy,5,base1,Base,26.05
1-1-6,1,1,6,Gyarados,6,base1,Base,34.98
1-1-7,1,1,7,Hitmonchan,7,base1,Base,18.55
1-1-8,1,1,8,Machamp,8,base1,Base,0.0
1-1-9,1,1,9,Magneton,9,base1,Base,20.24
1-2-1,1,2,1,Mewtwo,10,base1,Base,38.91
1-2-2,1,2,2,Nidoking,11,base1,Base,28.8
1-2-3,1,2,3,Ninetales,12,base1,Base,22.93
1-2-4,1,2,4,Poliwrath,13,base1,Base,20.44
1-2-5,1,2,5,Raichu,14,base1,Base,43.69
1-2-6,1,2,6,Venusaur,15,base1,Base,119.17
1-2-7,1,2,7,Zapdos,16,base1,Base,36.66
1-2-8,1,2,8,Beedrill,17,base1,Base,3.97
1-2-9,1,2,9,Dragonair,18,base1,Base,13.13
1-3-1,1,3,1,Dugtrio,19,base1,Base,6.74
1-3-2,1,3,2,Electabuzz,20,base1,Base,7.43
1-3-3,1,3,3,Electrode,21,base1,Base,6.86
1-3-4,1,3,4,Pidgeotto,22,base1,Base,9.42
1-3-5,1,3,5,Arcanine,23,base1,Base,3.0
1-3-6,1,3,6,Charmeleon,24,base1,Base,1.81
1-3-7,1,3,7,Dewgong,25,base1,Base,2.22
1-3-8,1,3,8,Dratini,26,base1,Base,1.66
1-3-9,1,3,9,Farfetch'd,27,base1,Base,0.93
1-4-1,1,4,1,Growlithe,28,base1,Base,0.81
1-4-2,1,4,2,Haunter,29,base1,Base,1.36
1-4-3,1,4,3,Ivysaur,30,base1,Base,2.19
1-4-4,1,4,4,Jynx,31,base1,Base,0.65
1-4-5,1,4,5,Kadabra,32,base1,Base,1.29
1-4-6,1,4,6,Kakuna,33,base1,Base,1.0
1-4-7,1,4,7,Machoke,34,base1,Base,0.65
1-4-8,1,4,8,Magikarp,35,base1,Base,1.95
1-4-9,1,4,9,Magmar,36,base1,Base,2.65
1-5-1,1,5,1,Nidorino,37,base1,Base,1.78
1-5-2,1,5,2,Poliwhirl,38,base1,Base,1.29
1-5-3,1,5,3,Porygon,39,base1,Base,2.15
1-5-4,1,5,4,Raticate,40,base1,Base,2.06
1-5-5,1,5,5,Seel,41,base1,Base,1.07
1-5-6,1,5,6,Wartortle,42,base1,Base,2.47
1-5-7,1,5,7,Abra,43,base1,Base,0.58
1-5-8,1,5,8,Bulbasaur,44,base1,Base,1.68
1-5-9,1,5,9,Caterpie,45,base1,Base,0.82
1-6-1,1,6,1,Charmander,46,base1,Base,1.67
1-6-2,1,6,2,Diglett,47,base1,Base,0.42
1-6-3,1,6,3,Doduo,48,base1,Base,0.92
1-6-4,1,6,4,Drowzee,49,base1,Base,0.42
1-6-5,1,6,5,Gastly,50,base1,Base,0.56
1-6-6,1,6,6,Koffing,51,base1,Base,0.42
1-6-7,1,6,7,Machop,52,base1,Base,0.33
1-6-8,1,6,8,Magnemite,53,base1,Base,0.5
1-6-9,1,6,9,Metapod,54,base1,Base,0.71
1-7-1,1,7,1,Nidoran ♂,55,base1,Base,0.68
1-7-2,1,7,2,Onix,56,base1,Base,0.47
1-7-3,1,7,3,Pidgey,57,base1,Base,0.67
1-7-4,1,7,4,Pikachu,58,base1,Base,3.19
1-7-5,1,7,5,Poliwag,59,base1,Base,0.41
1-7-6,1,7,6,Ponyta,60,base1,Base,0.43
1-7-7,1,7,7,Rattata,61,base1,Base,0.44
1-7-8,1,7,8,Sandshrew,62,base1,Base,0.54
1-7-9,1,7,9,Squirtle,63,base1,Base,2.8
1-8-1,1,8,1,Starmie,64,base1,Base,0.45
1-8-2,1,8,2,Staryu,65,base1,Base,0.36
1-8-3,1,8,3,Tangela,66,base1,Base,0.48
1-8-4,1,8,4,Voltorb,67,base1,Base,1.31
1-8-5,1,8,5,Vulpix,68,base1,Base,0.53
1-8-6,1,8,6,Weedle,69,base1,Base,0.39
1-8-7,1,8,7,Clefairy Doll,70,base1,Base,5.34
1-8-8,1,8,8,Computer Search,71,base1,Base,3.07
1-8-9,1,8,9,Devolution Spray,72,base1,Base,4.6
1-9-1,1,9,1,Impostor Professor Oak,73,base1,Base,5.49
1-9-2,1,9,2,Item Finder,74,base1,Base,8.57
1-9-3,1,9,3,Lass,75,base1,Base,2.37
1-9-4,1,9,4,Pokémon Breeder,76,base1,Base,6.85
1-9-5,1,9,5,Pokémon Trader,77,base1,Base,4.48
1-9-6,1,9,6,Scoop Up,78,base1,Base,7.11
1-9-7,1,9,7,Super Energy Removal,79,base1,Base,3.34
1-9-8,1,9,8,Defender,80,base1,Base,1.28
1-9-9,1,9,9,Energy Retrieval,81,base1,Base,0.61
1-10-1,1,10,1,Full Heal,82,base1,Base,1.37
1-10-2,1,10,2,Maintenance,83,base1,Base,2.11
1-10-3,1,10,3,PlusPower,84,base1,Base,0.57
1-10-4,1,10,4,Pokémon Center,85,base1,Base,1.6
1-10-5,1,10,5,Pokémon Flute,86,base1,Base,2.41
1-10-6,1,10,6,Pokédex,87,base1,Base,0.44
1-10-7,1,10,7,Professor Oak,88,base1,Base,1.08
1-10-8,1,10,8,Revive,89,base1,Base,2.17
1-10-9,1,10,9,Super Potion,90,base1,Base,0.29
1-11-1,1,11,1,Bill,91,base1,Base,0.33
1-11-2,1,11,2,Energy Removal,92,base1,Base,0.37
1-11-3,1,11,3,Gust of Wind,93,base1,Base,0.23
1-11-4,1,11,4,Potion,94,base1,Base,0.2
1-11-5,1,11,5,Switch,95,base1,Base,0.3
1-11-6,1,11,6,Double Colorless Energy,96,base1,Base,5.78
1-11-7,1,11,7,Fighting Energy,97,base1,Base,0.31
1-11-8,1,11,8,Fire Energy,98,base1,Base,0.32
1-11-9,1,11,9,Grass Energy,99,base1,Base,0.28
1-12-1,1,12,1,Lightning Energy,100,base1,Base,0.3
1-12-2,1,12,2,Psychic Energy,101,base1,Base,0.35
1-12-3,1,12,3,Water Energy,102,base1,Base,0.32
1-12-4,1,12,4,Charizard,4,base1,Base,458.29
1-12-5,1,12,5,Blastoise,2,base1,Base,159.26
1-12-6,1,12,6,Venusaur,15,base1,Base,119.17
1-12-7,1,12,7,Mewtwo,10,base1,Base,38.91
1-12-8,1,12,8,Zapdos,16,base1,Base,36.66
1-12-9,1,12,9,Raichu,14,base1,Base,43.69
1-13-1,1,13,1,Alakazam,1,base1,Base,54.13
1-13-2,1,13,2,Chansey,3,base1,Base,28.48
1-13-3,1,13,3,Ninetales,12,base1,Base,22.93
1-13-4,1,13,4,Machamp,8,base1,Base,0.0
1-13-5,1,13,5,Charizard,4,base1,Base,458.29
1-13-6,1,13,6,Mewtwo,10,base1,Base,38.91
1-13-7,1,13,7,Pikachu,58,base1,Base,3.19
1-13-8,1,13,8,Bulbasaur,44,base1,Base,1.68
1-13-9,1,13,9,Charmander,46,base1,Base,1.67
1-14-1,1,14,1,Squirtle,63,base1,Base,2.8
1-14-2,1,14,2,Pidgey,57,base1,Base,0.67
1-14-3,1,14,3,Rattata,61,base1,Base,0.44
1-14-4,1,14,4,Clefairy,5,base1,Base,26.05
1-14-5,1,14,5,Jynx,31,base1,Base,0.65
1-14-6,1,14,6,Magikarp,35,base1,Base,1.95
1-14-7,1,14,7,Abra,43,base1,Base,0.58
1-14-8,1,14,8,Machop,52,base1,Base,0.33
1-14-9,1,14,9,Magnemite,53,base1,Base,0.5
1-15-1,1,15,1,Koffing,51,base1,Base,0.42
1-15-2,1,15,2,Gastly,50,base1,Base,0.56
1-15-3,1,15,3,Vulpix,68,base1,Base,0.53
1-15-4,1,15,4,Ponyta,60,base1,Base,0.43
1-15-5,1,15,5,Drowzee,49,base1,Base,0.42
1-15-6,1,15,6,Diglett,47,base1,Base,0.42
1-15-7,1,15,7,Weedle,69,base1,Base,0.39
1-15-8,1,15,8,Caterpie,45,base1,Base,0.82
1-15-9,1,15,9,Nidoran ♂,55,base1,Base,0.68
1-16-1,1,16,1,Poliwag,59,base1,Base,0.41
1-16-2,1,16,2,Poliwhirl,38,base1,Base,1.29
1-16-3,1,16,3,Ivysaur,30,base1,Base,2.19
1-16-4,1,16,4,Wartortle,42,base1,Base,2.47
1-16-5,1,16,5,Charmeleon,24,base1,Base,1.81
1-16-6,1,16,6,Kadabra,32,base1,Base,1.29
1-16-7,1,16,7,Machoke,34,base1,Base,0.65
1-16-8,1,16,8,Kakuna,33,base1,Base,1.0
1-16-9,1,16,9,Metapod,54,base1,Base,0.71
1-17-1,1,17,1,Dragonair,18,base1,Base,13.13
1-17-2,1,17,2,Dratini,26,base1,Base,1.66
1-17-3,1,17,3,Growlithe,28,base1,Base,0.81
1-17-4,1,17,4,Arcanine,23,base1,Base,3.0
